REF_DATE,GEO,Labour force characteristics,Sex,VALUE
2020-01,Alberta,Unemployment,Males,97.8
2020-01,British Columbia,Population,Males,2039.4
2020-01,British Columbia,Labour force,Males,1397.7
2020-01,British Columbia,Employment,Males,1339
2020-01,British Columbia,Full-time employment,Males,1142.3
2020-01,British Columbia,Part-time employment,Males,196.7
2020-01,British Columbia,Unemployment,Males,58.7
2020-05,Canada,Population,Males,15356.3
2020-05,Canada,Labour force,Males,10191.5
2020-05,Canada,Employment,Males,8818.7
2020-05,Canada,Full-time employment,Males,7877.2
2020-05,Canada,Part-time employment,Males,941.5
2020-05,Canada,Unemployment,Males,1372.8
2020-05,Newfoundland and Labrador,Population,Males,214.7
2020-05,Newfoundland and Labrador,Labour force,Males,121.1
2020-05,Newfoundland and Labrador,Employment,Males,94.6
2020-05,Newfoundland and Labrador,Full-time employment,Males,87.2
2020-05,Newfoundland and Labrador,Part-time employment,Males,7.4
2020-05,Newfoundland and Labrador,Unemployment,Males,26.4
2020-05,Prince Edward Island,Population,Males,64.4
2020-05,Prince Edward Island,Labour force,Males,43.7
2020-05,Prince Edward Island,Employment,Males,38.4
2020-05,Prince Edward Island,Full-time employment,Males,35.4
2020-05,Prince Edward Island,Part-time employment,Males,3
2020-05,Prince Edward Island,Unemployment,Males,5.3
2020-05,Nova Scotia,Population,Males,395.4
2020-05,Nova Scotia,Labour force,Males,238.3
2020-05,Nova Scotia,Employment,Males,210
2020-05,Nova Scotia,Full-time employment,Males,185.2
2020-05,Nova Scotia,Part-time employment,Males,24.7
2020-05,Nova Scotia,Unemployment,Males,28.3
2020-05,New Brunswick,Population,Males,311.2
2020-05,New Brunswick,Labour force,Males,195.9
2020-05,New Brunswick,Employment,Males,170.9
2020-05,New Brunswick,Full-time employment,Males,152
2020-05,New Brunswick,Part-time employment,Males,18.9
2020-05,New Brunswick,Unemployment,Males,25
2020-05,Quebec,Population,Males,3531.9
2020-05,Quebec,Labour force,Males,2328.3
2020-05,Quebec,Employment,Males,2009.2
2020-05,Quebec,Full-time employment,Males,1803.1
2020-05,Quebec,Part-time employment,Males,206.1
2020-05,Quebec,Unemployment,Males,319.1
2020-05,Ontario,Population,Males,6023.3
2020-05,Ontario,Labour force,Males,3934.1
2020-05,Ontario,Employment,Males,3421.2
2020-05,Ontario,Full-time employment,Males,3078.3
2020-05,Ontario,Part-time employment,Males,342.9
2020-05,Ontario,Unemployment,Males,512.9
2020-05,Manitoba,Population,Males,519
2020-05,Manitoba,Labour force,Males,360
2020-05,Manitoba,Employment,Males,323.4
2020-05,Manitoba,Full-time employment,Males,283.4
2020-05,Manitoba,Part-time employment,Males,40
2020-05,Manitoba,Unemployment,Males,36.6
2020-05,Saskatchewan,Population,Males,451
2020-05,Saskatchewan,Labour force,Males,318
2020-05,Saskatchewan,Employment,Males,277.7
2020-05,Saskatchewan,Full-time employment,Males,248
2020-05,Saskatchewan,Part-time employment,Males,29.6
2020-05,Saskatchewan,Unemployment,Males,40.3
2020-05,Alberta,Population,Males,1794.6
2020-05,Alberta,Labour force,Males,1319.4
2020-05,Alberta,Employment,Males,1107.7
2020-05,Alberta,Full-time employment,Males,987.7
2020-05,Alberta,Part-time employment,Males,120
2020-05,Alberta,Unemployment,Males,211.8
2020-05,British Columbia,Population,Males,2050.6
2020-05,British Columbia,Labour force,Males,1332.8
2020-05,British Columbia,Employment,Males,1165.7
2020-05,British Columbia,Full-time employment,Males,1016.9
2020-05,British Columbia,Part-time employment,Males,148.8
2020-05,British Columbia,Unemployment,Males,167.1
2020-09,Canada,Population,Males,15415.5
2020-09,Canada,Labour force,Males,10740.4
2020-09,Canada,Employment,Males,9719.6
2020-09,Canada,Full-time employment,Males,8474.5
2020-09,Canada,Part-time employment,Males,1245
2020-09,Canada,Unemployment,Males,1020.8
2020-09,Newfoundland and Labrador,Population,Males,214.6
2020-09,Newfoundland and Labrador,Labour force,Males,132.8
2020-09,Newfoundland and Labrador,Employment,Males,107.7
2020-09,Newfoundland and Labrador,Full-time employment,Males,95.1
2020-09,Newfoundland and Labrador,Part-time employment,Males,12.6
2020-09,Newfoundland and Labrador,Unemployment,Males,25.1
2020-09,Prince Edward Island,Population,Males,64.8
2020-09,Prince Edward Island,Labour force,Males,44.1
2020-09,Prince Edward Island,Employment,Males,39.1
2020-09,Prince Edward Island,Full-time employment,Males,34.8
2020-09,Prince Edward Island,Part-time employment,Males,4.4
2020-09,Prince Edward Island,Unemployment,Males,4.9
2020-09,Nova Scotia,Population,Males,397.1
2020-09,Nova Scotia,Labour force,Males,251.7
2020-09,Nova Scotia,Employment,Males,230.7
2020-09,Nova Scotia,Full-time employment,Males,191.1
2020-09,Nova Scotia,Part-time employment,Males,39.6
2020-09,Nova Scotia,Unemployment,Males,21
2020-09,New Brunswick,Population,Males,311.9
2020-09,New Brunswick,Labour force,Males,206.2
2020-09,New Brunswick,Employment,Males,178.5
2020-09,New Brunswick,Full-time employment,Males,159.6
2020-09,New Brunswick,Part-time employment,Males,18.8
2020-09,New Brunswick,Unemployment,Males,27.7
2020-09,Quebec,Population,Males,3544.7
2020-09,Quebec,Labour force,Males,2441.7
2020-09,Quebec,Employment,Males,2258.7
2020-09,Quebec,Full-time employment,Males,1965.6
2020-09,Quebec,Part-time employment,Males,293.1
2020-09,Quebec,Unemployment,Males,183
2020-09,Ontario,Population,Males,6049.1
2020-09,Ontario,Labour force,Males,4221.8
2020-09,Ontario,Employment,Males,3813
2020-09,Ontario,Full-time employment,Males,3336.3
2020-09,Ontario,Part-time employment,Males,476.7
2020-09,Ontario,Unemployment,Males,408.7
2020-09,Manitoba,Population,Males,519.6
2020-09,Manitoba,Labour force,Males,373.7
2020-09,Manitoba,Employment,Males,346.8
2020-09,Manitoba,Full-time employment,Males,299.6
2020-09,Manitoba,Part-time employment,Males,47.1
2020-09,Manitoba,Unemployment,Males,27
2020-09,Saskatchewan,Population,Males,450.9
2020-09,Saskatchewan,Labour force,Males,326.9
2020-09,Saskatchewan,Employment,Males,303
2020-09,Saskatchewan,Full-time employment,Males,271.9
2020-09,Saskatchewan,Part-time employment,Males,31
2020-09,Saskatchewan,Unemployment,Males,24
2020-09,Alberta,Population,Males,1800.2
2020-09,Alberta,Labour force,Males,1358.9
2020-09,Alberta,Employment,Males,1184.2
2020-09,Alberta,Full-time employment,Males,1039.7
2020-09,Alberta,Part-time employment,Males,144.5
2020-09,Alberta,Unemployment,Males,174.7
2020-09,British Columbia,Population,Males,2062.5
2020-09,British Columbia,Labour force,Males,1382.6
2020-09,British Columbia,Employment,Males,1257.9
2020-09,British Columbia,Full-time employment,Males,1080.7
2020-09,British Columbia,Part-time employment,Males,177.3
2020-09,British Columbia,Unemployment,Males,124.7
